2013-10-30 18:20:55.982365|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2013-10-30 18:20:55.982671|INFO    |VirtualServer |  1| client 'server'(id:0) added privilege key for servergroup 'Server Admin'(id:6)
2013-10-30 18:20:55.982691|WARNING |VirtualServer |  1| --------------------------------------------------------
2013-10-30 18:20:55.982704|WARNING |VirtualServer |  1| ServerAdmin privilege key created, please use the line below
2013-10-30 18:20:55.982716|WARNING |VirtualServer |  1| token=6ptyJTwkIhbGl17oJftNmY8B67aShvyIlSE8fuw5
2013-10-30 18:20:55.982732|WARNING |VirtualServer |  1| --------------------------------------------------------
2013-10-30 18:21:28.550152|INFO    |VirtualServer |  1| client (id:2) was added to servergroup 'Server Admin'(id:6) by client 'server'(id:0)
2013-10-30 18:21:28.550991|INFO    |VirtualServer |  1| client 'Husqvarna'(id:2) used privilege key '6ptyJTwkIhbGl17oJftNmY8B67aShvyIlSE8fuw5' and was added to servergroup 'Server Admin'(id:6)
2013-10-30 18:23:18.590974|INFO    |VirtualServer |  1| client (id:3) was added to servergroup 'Server Admin'(id:6) by client 'Husqvarna'(id:2)
2013-10-30 18:36:13.552299|INFO    |VirtualServer |  1| client (id:2) was added to servergroup 'Admin Server Query'(id:2) by client 'serveradmin from 93.105.168.223:58446'(id:1)
2013-10-30 18:39:39.831546|INFO    |VirtualServer |  1| permission 'b_client_ignore_bans'(id:20654) with values (value:0, negated:0, skipchannel:0) was added by '&#10006; A&#8706;&#1084;&#238;&#1080; Dex&#10006;'(id:3) to servergroup 'Server Admin'(id:6)
2013-10-30 18:50:08.235909|INFO    |VirtualServer |  1| client (id:3) was added to servergroup 'Admin Server Query'(id:2) by client 'serveradmin from 93.105.168.223:58446'(id:1)
2013-10-30 18:56:31.172084|INFO    |VirtualServer |  1| permission 'i_ft_needed_file_browse_power'(id:24812) with values (value:999) was added by '&#10006; A&#8706;&#1084;&#238;&#1080; Dex&#10006;'(id:3) to channel '[*spacer]&#9643;&#9642;'(id:2)
2013-10-30 18:56:31.172510|INFO    |VirtualServer |  1| permission 'i_ft_needed_file_rename_power'(id:24810) with values (value:999) was added by '&#10006; A&#8706;&#1084;&#238;&#1080; Dex&#10006;'(id:3) to channel '[*spacer]&#9643;&#9642;'(id:2)
2013-10-30 18:56:31.172910|INFO    |VirtualServer |  1| permission 'i_ft_needed_directory_create_power'(id:24814) with values (value:999) was added by '&#10006; A&#8706;&#1084;&#238;&#1080; Dex&#10006;'(id:3) to channel '[*spacer]&#9643;&#9642;'(id:2)
2013-10-30 18:56:31.173314|INFO    |VirtualServer |  1| permission 'i_ft_needed_file_download_power'(id:24806) with values (value:999) was added by '&#10006; A&#8706;&#1084;&#238;&#1080; Dex&#10006;'(id:3) to channel '[*spacer]&#9643;&#9642;'(id:2)
2013-10-30 18:56:31.173927|INFO    |VirtualServer |  1| permission 'i_channel_needed_delete_power'(id:13436) with values (value:999) was added by '&#10006; A&#8706;&#1084;&#238;&#1080; Dex&#10006;'(id:3) to channel '[*spacer]&#9643;&#9642;'(id:2)
