2013-11-04 13:46:56.097458|INFO    |VirtualServer |  1| channel '2'(id:79) deleted by 'server'(id:0)
2013-11-04 13:46:56.146364|INFO    |VirtualServer |  1| channel '1'(id:88) deleted by 'server'(id:0)
2013-11-04 13:46:56.215418|INFO    |VirtualServer |  1| channel '2'(id:89) deleted by 'server'(id:0)
2013-11-04 13:46:56.227943|INFO    |VirtualServer |  1| channel '6. U Galernika [LKS LODZ]'(id:82) deleted by 'server'(id:0)
2013-11-04 13:46:56.234577|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2013-11-04 13:47:11.203164|INFO    |VirtualServer |  1| client connected 'Husqvarna'(id:2) from 93.105.168.223:54610
2013-11-04 13:52:50.795988|INFO    |VirtualServer |  1| query client connected 'Unknown from 62.75.222.14:36465'(id:4)
2013-11-04 13:52:51.272376|INFO    |VirtualServer |  1| query client disconnected 'Unknown from 62.75.222.14:36465'(id:4) reason 'reasonmsg=disconnecting'
2013-11-04 13:53:56.783913|INFO    |VirtualServer |  1| client connected 'Vienz'(id:110) from 79.139.68.104:19672
2013-11-04 13:54:32.093587|INFO    |VirtualServer |  1| client disconnected 'Vienz'(id:110) reason 'reasonmsg=leaving'
2013-11-04 13:56:20.314403|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:34061'(id:4)
2013-11-04 13:56:20.658172|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 13:59:20.533325|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:47206'(id:4)
2013-11-04 13:59:20.888731|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:02:20.207378|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:42776'(id:4)
2013-11-04 14:02:20.547140|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:03:31.994135|INFO    |VirtualServer |  1| query client connected 'Unknown from 62.75.222.14:33234'(id:4)
2013-11-04 14:03:32.387449|INFO    |VirtualServer |  1| query client disconnected 'Unknown from 62.75.222.14:33234'(id:4) reason 'reasonmsg=disconnecting'
2013-11-04 14:05:20.316579|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:44944'(id:4)
2013-11-04 14:05:20.631530|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:08:50.197031|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:41859'(id:4)
2013-11-04 14:08:50.573576|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:11:50.286509|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:44337'(id:4)
2013-11-04 14:11:50.628864|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:14:06.352844|INFO    |VirtualServer |  1| query client connected 'Unknown from 62.75.222.14:58331'(id:4)
2013-11-04 14:14:06.754140|INFO    |VirtualServer |  1| query client disconnected 'Unknown from 62.75.222.14:58331'(id:4) reason 'reasonmsg=disconnecting'
2013-11-04 14:14:50.361674|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:47825'(id:4)
2013-11-04 14:14:50.731878|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:18:20.170036|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:54387'(id:4)
2013-11-04 14:18:20.562297|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:21:20.757205|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:52379'(id:4)
2013-11-04 14:21:21.084706|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:24:20.482079|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:39074'(id:4)
2013-11-04 14:24:20.860262|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:24:36.632835|INFO    |VirtualServer |  1| query client connected 'Unknown from 62.75.222.14:55205'(id:4)
2013-11-04 14:24:37.034570|INFO    |VirtualServer |  1| query client disconnected 'Unknown from 62.75.222.14:55205'(id:4) reason 'reasonmsg=disconnecting'
2013-11-04 14:26:09.540279|INFO    |VirtualServer |  1| client connected '&#729;&#903;&#1632;&#8226;&#9679;MaQu&#9679;&#8226;&#1632;&#903;&#729;'(id:5) from 87.116.198.62:1349
2013-11-04 14:27:20.929207|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:47336'(id:4)
2013-11-04 14:27:21.223487|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:30:20.975213|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:47878'(id:4)
2013-11-04 14:30:21.351391|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:33:20.613709|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:49326'(id:4)
2013-11-04 14:33:21.004522|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:35:10.498644|INFO    |VirtualServer |  1| query client connected 'Unknown from 62.75.222.14:52025'(id:4)
2013-11-04 14:35:10.858452|INFO    |VirtualServer |  1| query client disconnected 'Unknown from 62.75.222.14:52025'(id:4) reason 'reasonmsg=disconnecting'
2013-11-04 14:36:20.415723|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:33051'(id:4)
2013-11-04 14:36:20.764849|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:39:20.563755|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:43659'(id:4)
2013-11-04 14:39:20.906325|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
2013-11-04 14:42:20.551953|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.148:35854'(id:4)
2013-11-04 14:42:20.885009|INFO    |VirtualServer |  1| query client disconnected 'GameTracker'(id:4) reason 'reasonmsg=connection lost'
